Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,,,,,,,,,,,,,,,
757.85,12.67,53.63,52.41,54.24,78.92,,,,,,,,,,,,,,,,,,,,,,
763.52,12.93,49.94,53.64,53.93,80.15,,,,,,,,,,,,,,,,,,,,,,
746.51,13.07,49.02,54.57,52.70,81.07,,,,,,,,,,,,,,,,,,,,,,
740.84,13.20,49.02,55.49,52.70,81.38,,,,,,,,,,,,,,,,,,,,,,
735.17,13.33,47.79,56.11,51.47,80.76,,,,,,,,,,,,,,,,,,,,,,
735.17,13.47,46.56,55.49,50.55,81.06,,,,,,,,,,,,,,,,,,,,,,
735.17,13.73,44.72,55.80,49.63,82.60,,,,,,,,,,,,,,,,,,,,,,
740.84,13.87,44.41,56.11,49.02,82.29,,,,,,,,,,,,,,,,,,,,,,
774.85,13.87,45.95,54.58,48.71,83.82,,,,,,,,,,,,,,,,,,,,,,
774.85,13.87,47.18,55.19,47.17,84.13,,,,,,,,,,,,,,,,,,,,,,
774.85,13.87,50.25,54.27,46.86,82.90,,,,,,,,,,,,,,,,,,,,,,
774.85,13.87,51.48,53.35,45.63,84.13,,,,,,,,,,,,,,,,,,,,,,
780.52,14.00,52.09,54.58,44.71,85.36,,,,,,,,,,,,,,,,,,,,,,
803.20,14.00,52.40,54.58,43.79,85.36,,,,,,,,,,,,,,,,,,,,,,
797.53,14.00,54.55,53.66,43.18,85.05,,,,,,,,,,,,,,,,,,,,,,
820.20,14.13,54.86,53.66,43.18,85.97,,,,,,,,,,,,,,,,,,,,,,
831.54,14.13,56.09,53.67,43.18,86.27,,,,,,,,,,,,,,,,,,,,,,
831.54,14.13,57.01,54.28,43.80,85.97,,,,,,,,,,,,,,,,,,,,,,
842.88,14.27,57.02,53.67,44.41,88.11,,,,,,,,,,,,,,,,,,,,,,
854.22,14.27,57.63,52.44,45.03,87.81,,,,,,,,,,,,,,,,,,,,,,
854.22,14.27,58.25,51.52,45.33,87.50,,,,,,,,,,,,,,,,,,,,,,
831.54,14.27,59.78,50.60,45.64,86.58,,,,,,,,,,,,,,,,,,,,,,
831.54,14.40,60.39,49.68,46.26,87.50,,,,,,,,,,,,,,,,,,,,,,
842.88,14.40,60.39,49.68,46.87,87.81,,,,,,,,,,,,,,,,,,,,,,
842.88,14.40,62.55,50.91,47.18,88.42,,,,,,,,,,,,,,,,,,,,,,
865.55,14.40,62.24,51.53,47.49,89.65,,,,,,,,,,,,,,,,,,,,,,
876.89,14.40,60.71,52.45,47.79,88.42,,,,,,,,,,,,,,,,,,,,,,
893.90,14.40,61.01,53.98,48.10,89.03,,,,,,,,,,,,,,,,,,,,,,
899.56,14.53,61.94,53.37,48.10,90.56,,,,,,,,,,,,,,,,,,,,,,
905.23,14.53,62.55,53.99,49.02,90.25,,,,,,,,,,,,,,,,,,,,,,
910.90,14.53,65.01,53.99,49.64,90.87,,,,,,,,,,,,,,,,,,,,,,
967.59,14.67,63.79,55.83,50.25,91.48,,,,,,,,,,,,,,,,,,,,,,
961.92,14.80,65.32,56.14,51.18,92.10,,,,,,,,,,,,,,,,,,,,,,
956.25,14.80,67.47,56.14,51.79,91.79,,,,,,,,,,,,,,,,,,,,,,
978.92,14.93,66.86,57.37,52.41,91.48,,,,,,,,,,,,,,,,,,,,,,
1007.27,14.93,66.86,57.68,52.72,92.09,,,,,,,,,,,,,,,,,,,,,,
1001.60,14.93,65.63,56.45,53.33,93.32,,,,,,,,,,,,,,,,,,,,,,
944.91,14.93,63.48,57.38,53.95,92.71,,,,,,,,,,,,,,,,,,,,,,
984.59,15.07,62.87,57.99,54.56,92.70,,,,,,,,,,,,,,,,,,,,,,
1007.27,15.07,63.79,57.69,54.87,93.32,,,,,,,,,,,,,,,,,,,,,,
1018.60,15.07,64.41,58.61,55.48,93.93,,,,,,,,,,,,,,,,,,,,,,
1046.95,15.07,65.02,58.92,55.79,94.24,,,,,,,,,,,,,,,,,,,,,,
1012.94,15.33,61.95,58.00,55.79,94.54,,,,,,,,,,,,,,,,,,,,,,
1007.27,15.60,61.33,58.31,56.10,96.39,,,,,,,,,,,,,,,,,,,,,,
1041.28,15.60,61.95,58.92,56.41,94.54,,,,,,,,,,,,,,,,,,,,,,
1052.62,15.60,63.18,58.62,57.02,95.16,,,,,,,,,,,,,,,,,,,,,,
1063.95,15.73,61.95,58.00,57.95,95.16,,,,,,,,,,,,,,,,,,,,,,
1001.60,15.73,60.41,57.70,57.95,95.77,,,,,,,,,,,,,,,,,,,,,,
1046.95,16.00,60.11,57.39,58.25,94.54,,,,,,,,,,,,,,,,,,,,,,
1058.28,16.13,60.72,56.77,58.56,95.77,,,,,,,,,,,,,,,,,,,,,,
1109.30,16.13,62.57,56.16,58.87,96.07,,,,,,,,,,,,,,,,,,,,,,
1097.97,16.13,61.04,55.55,59.18,96.99,,,,,,,,,,,,,,,,,,,,,,
1080.96,16.27,60.11,54.93,58.87,98.22,,,,,,,,,,,,,,,,,,,,,,
1097.97,16.27,60.11,53.40,58.87,98.22,,,,,,,,,,,,,,,,,,,,,,
1120.64,16.40,60.73,54.93,58.87,98.53,,,,,,,,,,,,,,,,,,,,,,
1114.97,16.40,59.19,54.63,58.57,98.83,,,,,,,,,,,,,,,,,,,,,,
1171.66,16.40,59.51,54.32,57.95,99.44,,,,,,,,,,,,,,,,,,,,,,
1160.32,16.53,60.43,56.47,57.03,100.06,,,,,,,,,,,,,,,,,,,,,,
1148.98,16.53,61.35,56.47,57.34,100.06,,,,,,,,,,,,,,,,,,,,,,
1148.98,16.67,62.27,57.09,56.73,100.36,,,,,,,,,,,,,,,,,,,,,,
1171.66,16.67,62.58,57.40,56.73,100.98,,,,,,,,,,,,,,,,,,,,,,
1205.67,16.93,62.28,57.70,56.42,101.59,,,,,,,,,,,,,,,,,,,,,,
1205.67,16.93,63.20,58.32,56.12,103.74,,,,,,,,,,,,,,,,,,,,,,
1205.67,16.93,61.35,58.32,55.81,104.35,,,,,,,,,,,,,,,,,,,,,,
1211.34,17.07,58.90,57.09,56.12,104.04,,,,,,,,,,,,,,,,,,,,,,
1222.67,17.07,60.43,58.32,56.43,104.34,,,,,,,,,,,,,,,,,,,,,,
1228.34,17.20,61.66,60.17,56.12,105.57,,,,,,,,,,,,,,,,,,,,,,
1228.34,17.20,62.59,59.25,56.43,105.88,,,,,,,,,,,,,,,,,,,,,,
1234.01,17.47,64.12,58.32,56.43,106.49,,,,,,,,,,,,,,,,,,,,,,
1239.68,17.47,64.43,56.79,56.13,106.80,,,,,,,,,,,,,,,,,,,,,,
1239.68,17.47,63.51,57.40,56.43,106.80,,,,,,,,,,,,,,,,,,,,,,
1290.70,17.47,64.44,58.63,56.43,106.18,,,,,,,,,,,,,,,,,,,,,,
1268.02,17.47,66.89,59.86,56.74,107.41,,,,,,,,,,,,,,,,,,,,,,
1319.04,17.73,67.82,60.48,56.74,109.25,,,,,,,,,,,,,,,,,,,,,,
1319.04,17.87,65.67,61.40,56.13,108.64,,,,,,,,,,,,,,,,,,,,,,
1307.70,18.00,65.36,61.40,56.44,107.71,,,,,,,,,,,,,,,,,,,,,,
1296.37,18.00,66.89,61.40,56.44,108.02,,,,,,,,,,,,,,,,,,,,,,
1296.37,18.13,67.51,60.48,56.44,113.84,,,,,,,,,,,,,,,,,,,,,,
1319.04,18.27,64.44,61.40,56.75,113.23,,,,,,,,,,,,,,,,,,,,,,
1336.05,18.27,65.98,61.71,57.06,115.68,,,,,,,,,,,,,,,,,,,,,,
1336.05,18.27,68.43,62.33,57.06,115.68,,,,,,,,,,,,,,,,,,,,,,
1319.04,18.27,69.66,62.63,55.83,115.98,,,,,,,,,,,,,,,,,,,,,,
1341.72,18.40,70.28,62.02,56.75,116.90,,,,,,,,,,,,,,,,,,,,,,
1336.05,18.53,67.51,61.10,57.06,117.82,,,,,,,,,,,,,,,,,,,,,,
1375.73,18.67,67.21,60.18,57.37,118.43,,,,,,,,,,,,,,,,,,,,,,
1375.73,18.80,69.05,60.80,57.67,119.05,,,,,,,,,,,,,,,,,,,,,,
1387.06,18.80,70.59,61.72,58.29,119.66,,,,,,,,,,,,,,,,,,,,,,
1404.07,18.93,69.98,63.56,58.60,119.97,,,,,,,,,,,,,,,,,,,,,,
1404.07,18.93,69.36,62.64,59.21,119.96,,,,,,,,,,,,,,,,,,,,,,
1387.06,19.07,67.21,62.03,59.83,121.81,,,,,,,,,,,,,,,,,,,,,,
1432.41,19.07,68.14,62.03,60.14,121.50,,,,,,,,,,,,,,,,,,,,,,
1426.74,19.20,70.59,61.10,60.14,120.89,,,,,,,,,,,,,,,,,,,,,,
1426.74,19.20,71.21,61.11,60.75,121.19,,,,,,,,,,,,,,,,,,,,,,
1443.75,19.20,71.82,60.19,61.37,122.11,,,,,,,,,,,,,,,,,,,,,,
1506.10,19.33,72.14,61.72,61.68,122.11,,,,,,,,,,,,,,,,,,,,,,
1472.09,19.33,71.21,61.11,61.99,124.56,,,,,,,,,,,,,,,,,,,,,,
1455.09,19.33,70.90,63.26,62.29,124.26,,,,,,,,,,,,,,,,,,,,,,
1523.11,19.47,68.45,62.03,62.60,124.25,,,,,,,,,,,,,,,,,,,,,,
1472.09,19.47,69.06,61.73,63.22,123.95,,,,,,,,,,,,,,,,,,,,,,
1477.76,19.60,67.83,60.81,63.83,124.87,,,,,,,,,,,,,,,,,,,,,,
