Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,,,,,,,,,,,,,,,
2333.72,29.33,79.60,55.04,71.95,174.81,,,,,,,,,,,,,,,,,,,,,,
2339.39,29.33,78.68,57.80,71.34,173.27,,,,,,,,,,,,,,,,,,,,,,
2345.06,29.33,76.83,52.88,74.72,176.34,,,,,,,,,,,,,,,,,,,,,,
2345.06,29.60,74.38,55.65,73.80,178.49,,,,,,,,,,,,,,,,,,,,,,
2367.73,29.60,73.77,56.57,72.26,176.34,,,,,,,,,,,,,,,,,,,,,,
2373.40,29.60,73.46,56.57,70.72,174.50,,,,,,,,,,,,,,,,,,,,,,
2384.74,29.73,75.30,58.42,69.80,176.34,,,,,,,,,,,,,,,,,,,,,,
2384.74,29.73,75.92,58.42,69.49,177.57,,,,,,,,,,,,,,,,,,,,,,
2384.74,30.00,77.45,58.42,63.96,175.11,,,,,,,,,,,,,,,,,,,,,,
2384.74,30.00,78.99,57.80,65.81,178.18,,,,,,,,,,,,,,,,,,,,,,
2396.08,30.27,81.14,57.81,66.42,178.79,,,,,,,,,,,,,,,,,,,,,,
2413.08,30.40,83.60,58.73,68.88,179.10,,,,,,,,,,,,,,,,,,,,,,
2418.75,30.40,84.52,60.26,64.27,178.79,,,,,,,,,,,,,,,,,,,,,,
2452.76,30.40,82.07,60.57,67.04,178.79,,,,,,,,,,,,,,,,,,,,,,
2452.76,30.67,86.68,59.96,64.27,179.09,,,,,,,,,,,,,,,,,,,,,,
2469.77,30.67,85.76,59.04,64.27,180.32,,,,,,,,,,,,,,,,,,,,,,
2452.76,30.67,85.45,59.35,61.51,180.01,,,,,,,,,,,,,,,,,,,,,,
2464.10,30.93,85.14,60.58,62.12,180.01,,,,,,,,,,,,,,,,,,,,,,
2435.76,31.07,86.68,60.88,63.97,180.93,,,,,,,,,,,,,,,,,,,,,,
2435.76,31.20,88.52,61.19,65.20,182.46,,,,,,,,,,,,,,,,,,,,,,
2469.77,31.20,89.44,61.19,67.04,181.85,,,,,,,,,,,,,,,,,,,,,,
2475.44,31.20,90.37,60.27,70.12,180.31,,,,,,,,,,,,,,,,,,,,,,
2441.42,31.33,93.13,62.42,71.35,182.15,,,,,,,,,,,,,,,,,,,,,,
2475.44,31.47,92.82,62.11,67.97,182.77,,,,,,,,,,,,,,,,,,,,,,
2498.11,31.47,92.21,62.72,66.12,183.38,,,,,,,,,,,,,,,,,,,,,,
2481.10,31.73,93.44,63.65,65.20,184.61,,,,,,,,,,,,,,,,,,,,,,
2486.77,31.87,94.98,63.04,66.44,183.99,,,,,,,,,,,,,,,,,,,,,,
2520.78,31.87,93.44,62.73,66.44,183.68,,,,,,,,,,,,,,,,,,,,,,
2526.45,32.13,93.14,64.27,68.59,183.38,,,,,,,,,,,,,,,,,,,,,,
2503.78,32.13,97.13,58.43,71.04,183.68,,,,,,,,,,,,,,,,,,,,,,
2543.46,32.13,95.29,59.66,71.96,184.30,,,,,,,,,,,,,,,,,,,,,,
2543.46,32.27,95.90,60.89,71.04,184.91,,,,,,,,,,,,,,,,,,,,,,
2543.46,32.27,96.52,61.50,72.88,185.52,,,,,,,,,,,,,,,,,,,,,,
2549.13,32.40,97.75,62.42,60.29,184.60,,,,,,,,,,,,,,,,,,,,,,
2588.81,32.53,94.06,59.97,63.98,184.60,,,,,,,,,,,,,,,,,,,,,,
2571.80,32.67,99.29,59.66,64.90,184.60,,,,,,,,,,,,,,,,,,,,,,
2566.13,32.80,100.51,59.05,65.51,187.36,,,,,,,,,,,,,,,,,,,,,,
2543.46,32.80,100.51,57.20,68.89,187.05,,,,,,,,,,,,,,,,,,,,,,
2577.47,32.93,94.68,57.20,76.57,186.75,,,,,,,,,,,,,,,,,,,,,,
2600.15,32.93,98.06,56.90,76.57,186.13,,,,,,,,,,,,,,,,,,,,,,
2600.15,33.07,98.98,54.75,77.50,186.44,,,,,,,,,,,,,,,,,,,,,,
2566.13,33.20,103.89,53.52,77.50,186.44,,,,,,,,,,,,,,,,,,,,,,
2605.81,33.20,104.51,52.60,76.27,187.66,,,,,,,,,,,,,,,,,,,,,,
2639.83,33.33,102.67,51.98,75.65,188.58,,,,,,,,,,,,,,,,,,,,,,
2617.15,33.33,102.36,51.37,72.27,187.66,,,,,,,,,,,,,,,,,,,,,,
2622.82,33.47,100.21,50.76,70.74,188.27,,,,,,,,,,,,,,,,,,,,,,
2645.49,33.60,98.68,49.22,70.13,189.50,,,,,,,,,,,,,,,,,,,,,,
2645.49,33.73,103.59,49.53,68.90,189.81,,,,,,,,,,,,,,,,,,,,,,
2656.83,33.73,104.52,49.84,70.13,189.19,,,,,,,,,,,,,,,,,,,,,,
2668.17,33.73,104.52,49.84,72.59,187.96,,,,,,,,,,,,,,,,,,,,,,
2583.14,33.87,103.28,51.68,75.04,188.89,,,,,,,,,,,,,,,,,,,,,,
2696.51,33.87,106.67,53.52,74.74,189.19,,,,,,,,,,,,,,,,,,,,,,
2685.17,33.87,101.45,54.45,74.74,190.11,,,,,,,,,,,,,,,,,,,,,,
2685.17,34.00,98.68,53.22,72.59,189.80,,,,,,,,,,,,,,,,,,,,,,
2679.51,34.13,97.45,52.30,74.43,189.19,,,,,,,,,,,,,,,,,,,,,,
2673.84,34.27,95.00,51.07,76.28,191.33,,,,,,,,,,,,,,,,,,,,,,
2668.17,34.27,94.07,50.15,77.81,192.25,,,,,,,,,,,,,,,,,,,,,,
2668.17,34.40,89.46,50.76,78.12,191.02,,,,,,,,,,,,,,,,,,,,,,
2668.17,34.40,87.31,51.07,78.73,192.86,,,,,,,,,,,,,,,,,,,,,,
2702.18,34.53,92.54,51.38,78.12,191.63,,,,,,,,,,,,,,,,,,,,,,
2713.52,34.67,89.47,53.22,77.20,191.94,,,,,,,,,,,,,,,,,,,,,,
2758.87,34.80,94.08,53.53,76.59,192.55,,,,,,,,,,,,,,,,,,,,,,
2770.20,35.07,94.39,52.30,76.90,193.16,,,,,,,,,,,,,,,,,,,,,,
2747.53,35.07,96.54,51.69,75.67,192.55,,,,,,,,,,,,,,,,,,,,,,
2719.19,35.20,95.31,53.53,75.06,194.39,,,,,,,,,,,,,,,,,,,,,,
2747.53,35.20,99.00,55.07,73.83,192.85,,,,,,,,,,,,,,,,,,,,,,
2764.53,35.47,97.16,54.76,72.60,193.78,,,,,,,,,,,,,,,,,,,,,,
2815.55,35.47,96.55,55.37,71.68,194.08,,,,,,,,,,,,,,,,,,,,,,
2792.88,35.47,101.46,54.76,71.37,195.00,,,,,,,,,,,,,,,,,,,,,,
2798.55,35.60,102.07,51.38,71.99,195.30,,,,,,,,,,,,,,,,,,,,,,
2809.88,35.73,101.46,55.68,68.30,194.38,,,,,,,,,,,,,,,,,,,,,,
2815.55,35.87,102.69,57.84,68.30,194.69,,,,,,,,,,,,,,,,,,,,,,
2826.89,36.00,103.61,57.84,69.53,194.07,,,,,,,,,,,,,,,,,,,,,,
2804.22,36.00,106.07,56.91,70.45,194.69,,,,,,,,,,,,,,,,,,,,,,
2792.88,36.13,107.60,56.00,69.84,196.53,,,,,,,,,,,,,,,,,,,,,,
2798.55,36.27,106.99,55.99,68.92,196.22,,,,,,,,,,,,,,,,,,,,,,
2770.20,36.27,108.22,56.92,68.30,198.06,,,,,,,,,,,,,,,,,,,,,,
2781.54,36.40,109.45,58.76,67.07,198.06,,,,,,,,,,,,,,,,,,,,,,
2787.21,36.53,110.98,55.38,64.61,199.59,,,,,,,,,,,,,,,,,,,,,,
2826.89,36.67,109.14,54.15,65.54,199.59,,,,,,,,,,,,,,,,,,,,,,
2838.23,36.93,106.38,54.77,68.61,198.98,,,,,,,,,,,,,,,,,,,,,,
2855.23,37.33,107.61,56.00,68.91,197.45,,,,,,,,,,,,,,,,,,,,,,
2860.90,37.87,108.53,56.31,66.15,201.74,,,,,,,,,,,,,,,,,,,,,,
2849.56,38.13,110.37,56.62,65.23,201.74,,,,,,,,,,,,,,,,,,,,,,
2911.92,38.53,111.92,56.00,64.61,199.90,,,,,,,,,,,,,,,,,,,,,,
2906.25,43.20,110.38,55.38,63.38,201.43,,,,,,,,,,,,,,,,,,,,,,
2940.26,43.33,110.69,59.69,64.00,202.96,,,,,,,,,,,,,,,,,,,,,,
2945.93,43.47,108.54,58.15,62.77,200.51,,,,,,,,,,,,,,,,,,,,,,
2894.91,43.60,108.23,58.77,60.62,202.04,,,,,,,,,,,,,,,,,,,,,,
2940.26,43.87,106.70,59.07,60.00,203.27,,,,,,,,,,,,,,,,,,,,,,
2962.94,43.87,106.39,59.69,60.31,204.19,,,,,,,,,,,,,,,,,,,,,,
2928.92,44.27,105.16,59.69,57.55,203.88,,,,,,,,,,,,,,,,,,,,,,
2951.60,44.40,104.55,59.08,60.31,205.10,,,,,,,,,,,,,,,,,,,,,,
2962.94,44.80,102.71,59.39,56.62,205.41,,,,,,,,,,,,,,,,,,,,,,
2934.59,45.33,102.09,60.31,58.16,206.03,,,,,,,,,,,,,,,,,,,,,,
2940.26,50.80,98.71,58.77,59.70,204.49,,,,,,,,,,,,,,,,,,,,,,
2951.60,50.93,101.48,56.01,59.70,204.80,,,,,,,,,,,,,,,,,,,,,,
2985.61,51.07,101.17,56.32,59.70,206.33,,,,,,,,,,,,,,,,,,,,,,
2985.61,51.33,100.56,56.93,57.85,206.94,,,,,,,,,,,,,,,,,,,,,,
2979.94,53.33,96.26,57.24,56.32,206.94,,,,,,,,,,,,,,,,,,,,,,
2974.27,53.47,98.41,55.09,55.09,208.48,,,,,,,,,,,,,,,,,,,,,,
2940.26,53.60,97.48,55.09,54.78,207.86,,,,,,,,,,,,,,,,,,,,,,
2974.27,53.73,94.72,53.55,55.40,209.09,,,,,,,,,,,,,,,,,,,,,,
2962.94,55.47,96.25,53.55,56.32,210.61,,,,,,,,,,,,,,,,,,,,,,
2979.94,55.60,93.49,52.94,55.40,212.76,,,,,,,,,,,,,,,,,,,,,,
2979.94,55.73,92.26,52.33,53.25,212.15,,,,,,,,,,,,,,,,,,,,,,
2985.61,55.87,90.42,49.87,51.40,211.53,,,,,,,,,,,,,,,,,,,,,,
2974.27,56.13,89.80,51.10,52.02,214.29,,,,,,,,,,,,,,,,,,,,,,
2962.94,56.27,88.27,51.09,52.32,214.59,,,,,,,,,,,,,,,,,,,,,,
3002.62,56.40,87.96,50.79,52.33,213.98,,,,,,,,,,,,,,,,,,,,,,
2996.95,56.40,86.12,48.64,51.71,212.76,,,,,,,,,,,,,,,,,,,,,,
2985.61,56.67,85.50,47.72,49.87,214.90,,,,,,,,,,,,,,,,,,,,,,
2991.28,56.93,82.43,48.33,48.64,214.28,,,,,,,,,,,,,,,,,,,,,,
2968.60,57.07,83.04,47.10,48.95,214.59,,,,,,,,,,,,,,,,,,,,,,
2985.61,57.20,77.21,46.79,49.25,213.98,,,,,,,,,,,,,,,,,,,,,,
2991.28,57.60,77.52,45.57,48.64,215.51,,,,,,,,,,,,,,,,,,,,,,
2996.95,58.00,77.83,46.18,48.33,215.20,,,,,,,,,,,,,,,,,,,,,,
